,base,clouds,cod,coord,dt,id,main,message,name,rain,snow,sys,visibility,weather,wind
14,stations,{'all': 40},200,"{'lon': -52.1, 'lat': -32.03}",1547395200.0,3451138.0,"{'temp': 303.15, 'pressure': 1014, 'humidity': 79, 'temp_min': 303.15, 'temp_max': 303.15}",,Rio Grande,,,"{'type': 1, 'id': 8408, 'message': 0.0039000000000000003, 'country': 'BR', 'sunrise': 1547368567, 'sunset': 1547419090}",10000.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]","{'speed': 5.1, 'deg': 120}"
15,stations,{'all': 90},200,"{'lon': -155.08, 'lat': 19.71}",1547394780.0,5855927.0,"{'temp': 293.15, 'pressure': 1018, 'humidity': 78, 'temp_min': 293.15, 'temp_max': 293.15}",,Hilo,,,"{'type': 1, 'id': 7881, 'message': 0.0044, 'country': 'US', 'sunrise': 1547398653, 'sunset': 1547438473}",16093.0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]","{'speed': 2.6, 'deg': 250}"
16,stations,{'all': 20},200,"{'lon': -122.67, 'lat': 45.52}",1547394960.0,5746545.0,"{'temp': 272.77, 'pressure': 1021, 'humidity': 84, 'temp_min': 270.95, 'temp_max': 275.95}",,Portland,,,"{'type': 1, 'id': 5321, 'message': 0.0039000000000000003, 'country': 'US', 'sunrise': 1547394465, 'sunset': 1547427112}",16093.0,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}, {'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50d'}]","{'speed': 1.76, 'deg': 74.5027}"
17,stations,{'all': 40},200,"{'lon': 18.42, 'lat': -33.93}",1547395200.0,3369157.0,"{'temp': 296.15, 'pressure': 1012, 'humidity': 56, 'temp_min': 296.15, 'temp_max': 296.15}",,Cape Town,,,"{'type': 1, 'id': 1899, 'message': 0.0033, 'country': 'ZA', 'sunrise': 1547351361, 'sunset': 1547402435}",10000.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]","{'speed': 5.1, 'deg': 250}"
18,stations,{'all': 68},200,"{'lon': -151.75, 'lat': -16.48}",1547397762.0,4034551.0,"{'temp': 300.551, 'pressure': 1022.72, 'humidity': 100, 'temp_min': 300.551, 'temp_max': 300.551, 'sea_level': 1022.76, 'grnd_level': 1022.72}",,Faanui,,,"{'message': 0.0034000000000000002, 'country': 'PF', 'sunrise': 1547394336, 'sunset': 1547441175}",,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 6.41, 'deg': 9.00266}"
19,stations,{'all': 75},200,"{'lon': -70.91, 'lat': -53.16}",1547395200.0,3874787.0,"{'temp': 285.15, 'pressure': 1009, 'humidity': 62, 'temp_min': 285.15, 'temp_max': 285.15}",,Punta Arenas,,,"{'type': 1, 'id': 8487, 'message': 0.0037, 'country': 'CL', 'sunrise': 1547368760, 'sunset': 1547427892}",10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 11.8, 'deg': 260}"
20,,,404,,,,,city not found,,,,,,,
21,,,404,,,,,city not found,,,,,,,
22,stations,{'all': 40},200,"{'lon': -61.45, 'lat': 10.24}",1547395200.0,3573739.0,"{'temp': 303.15, 'pressure': 1015, 'humidity': 48, 'temp_min': 303.15, 'temp_max': 303.15}",,Esperance,,,"{'type': 1, 'id': 8810, 'message': 0.0031000000000000003, 'country': 'TT', 'sunrise': 1547375231, 'sunset': 1547416937}",10000.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]","{'speed': 5.7, 'deg': 110}"
23,stations,{'all': 36},200,"{'lon': -137.51, 'lat': 60.75}",1547397763.0,5969025.0,"{'temp': 246.126, 'pressure': 899.03, 'humidity': 43, 'temp_min': 246.126, 'temp_max': 246.126, 'sea_level': 1035.09, 'grnd_level': 899.03}",,Haines Junction,,,"{'message': 0.0653, 'country': 'CA', 'sunrise': 1547402735, 'sunset': 1547425978}",,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]","{'speed': 0.86, 'deg': 167.503}"
24,stations,{'all': 20},200,"{'lon': -114.38, 'lat': 62.45}",1547395200.0,6185377.0,"{'temp': 238.15, 'pressure': 1033, 'humidity': 66, 'temp_min': 238.15, 'temp_max': 238.15}",,Yellowknife,,,"{'type': 1, 'id': 1007, 'message': 0.033800000000000004, 'country': 'CA', 'sunrise': 1547398129, 'sunset': 1547419481}",24140.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]","{'speed': 3.1, 'deg': 310}"
25,stations,{'all': 40},200,"{'lon': -52.73, 'lat': 47.66}",1547395200.0,6167817.0,"{'temp': 270.15, 'pressure': 1014, 'humidity': 73, 'temp_min': 270.15, 'temp_max': 270.15}",,Torbay,,,"{'type': 1, 'id': 998, 'message': 0.0032, 'country': 'CA', 'sunrise': 1547378134, 'sunset': 1547409864}",24140.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]","{'speed': 12.9, 'deg': 260, 'gust': 17.5}"
